element,value
photograph ID,37498
artwork ID,16556
Archive series,Italian painting
Container number,394
Container heading,Italian painting sec. XVI. Firenze. Michelangelo 2
Folder number,1
Folder heading,Michelangelo: Giudizio
Shelfmark,PI_0394/1/2
Subject,Giudizio Universale
Object depicted,mural painting
Object,positive
Photo title,Andersen - Roma - Giudizio universale - Michelangelo - Cappella Sistina - Vaticano
Medium or materials,Gelatin silver salts/baryted paper
Height,261
Length,200
Unit of measurement,mm
Photographer,Anderson
Reason for attribution,bibliografia
Source of attribution,"catalogo Anderson ""Roma e dintorni"" 1907 -  p. 31"
Artist's name,Buonarroti Michelangelo
Cultural context,Scuola italiana -  scuola toscana
From,1900
To,1940
Reason for dating,bibliography
Source of dating,"Catalogo della mostra ""La Sistina riprodotta"" 1992 -  p. 272"
Shot date,1898-1899
Negative number,933
Region / Federal State,Emilia-Romagna
District,BO
Town / Municipality,Bologna
Repository,Ex convento di S. Cristina
Address,piazzetta G. Morandi 2
Collection,Zeri Photo Archive
File,http://catalogo.fondazionezeri.unibo.it/scheda.v2.jsp?locale=it&decorator=layout_resp&apply=true&tipo_scheda=F&id=37498&titolo=Anderson+-+Roma+-+Giudizio+universale+-+Michelangelo+-+Cappella+Sistina+-+Vaticano+-+insieme#lg=1&slide=0
