"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","ISSN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"1997-2011","chronological term","017374702","Monograph","Language material ; Text","Volume","","9783826056444","","Woiwod, Uta","","person","author","Woiwod, Uta, author [person]","Die literarische Kommunikationsspirale : strukturelle Wechselwirkungen zwischen literarischem Text und Rezeption in der angelsächsischen Kinder- und Jugendliteratur des späten 20./frühen 21. Jahrhunderts","","Epistemata. Reihe Literaturwissenschaft","Band 829, 2015 [Epistemata. Reihe Literaturwissenschaft]","Germany","Würzburg","Königshausen & Neumann","2015","","556 pages, 15 black and white illustrations, 24 cm","","X.0950/333 (829)","","English ; German","Originally presented as the author's thesis (doctoral) --Universität Köln"
"Adolescence in literature","general term","015995580","Monograph","Language material ; Text","Volume","GBB1E4431","9780786466740","","Saxena, Vandana","1977-","person","","Saxena, Vandana, 1977- [person]","The subversive Harry Potter : adolescent rebellion and containment in the J.K. Rowling novels","","","","United States of America","Jefferson, North Carolina","McFarland","2012","","vii, 210 pages, 23 cm","823.914","YC.2012.a.12301","","English",""
"Adventure stories--History and criticism","general term","018099664","Monograph","Language material ; Text","Volume","","9789170612251","","Alkestrand, Malin","1986-","person","","Strandberg, Mats, 1976- [person] ; Rowling, J. K. [person] ; Alkestrand, Malin, 1986- [person] ; Colfer, Eoin [person]","Magiska möjligheter : Harry Potter, Artemis Fowl och Cirkeln i skolans värdegrundsarbete","Artemis Fowl ; Cirkeln ; Harry Potter","Svenska barnboksinstitutets skriftserie","137 [Svenska barnboksinstitutets skriftserie]","Sweden","Göteborg","Makadam","2016","","349 pages, illustrations, 21 cm","","X.0900/633 (137)","","English",""
"Advertising--Brand name products","general term","013180862","Monograph","Language material ; Text","Volume","GBA534250","9781904879305","","Brown, Stephen","1955 March 23-","person","","Brown, Stephen, 1955 March 23- [person]","Wizard! : Harry Potter's brand magic","","Great brand stories","","England","London","Cyan","2005","","191 pages, illustrations, 18 cm","658.827","YK.2008.a.5468 ; m06/.35049","","English",""
"Alchemy--Juvenile fiction","general term","007716549","Monograph","Language material ; Text","Volume","GB99X1777","9780747545729","","Rowling, J. K.","","person","","Rowling, J. K. [person]","Harry Potter and the philosopher's stone","","","","England","London","Bloomsbury","1999","Special edition","224 pages, 24 cm","823.914","","","English","Originally published: 1997"
"Allusions in literature","general term","018375958","Monograph","Language material ; Text","Volume","GBB796499","9781138284661 ; 9781138284678","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 volume, 24 cm","823.92","","","English","Additional physical form: ebook version. 9781351978729"
"Allusions in literature","general term","018377560","Monograph","Language material ; Text","Online resource (ebook ; Mobipocket ebook ; ePub ebook ; PDF ebook)","GBB798100","9781315269337 ; 9781351978712 ; 9781351978729 ; 9781351978736","","Groves, Beatrice","1978-","person","author","Groves, Beatrice, 1978-, author [person]","Literary allusion in Harry Potter","","","","England","London","Routledge","2017","","1 online resource","823.92","ELD.DS.147235","","English","Additional physical form: Print version. 9781138284661"
"Anelli, Melissa","person","014686380","Monograph","Language material ; Text","Volume","GBA896818","9781847394583","","Anelli, Melissa","","person","","Anelli, Melissa [person]","Harry, a history : the true story of a boy wizard, his fans, and life inside the Harry Potter phenomenon","","","","England","London","Pocket","2008","","xii, 356 pages 8 pages plates, 20 cm","823.914","YK.2010.a.6860","","English",""
"Anger","general term","015893890","Monograph","Language material ; Text","Volume","","9781921479311","","Sykley, Julie-Anne","","person","","Sykley, Julie-Anne [person]","Harry Potter power : free your inner power","","","","Australia","Carindale, Queensland","Interactive Publications","2010","","x, 258 pages, illustrations, 23 cm","152.4","YD.2011.a.7933","","English",""
"Animals, Mythical--Juvenile literature","general term","011935492","Monograph","Language material ; Text","Volume","GBA167195","9780141314815","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Puffin","2001","","224 pages, 20 cm","823.914","YK.2002.a.22003","Children's literature","English",""
"Animals, Mythical--Juvenile literature","general term","012919325","Monograph","Language material ; Text","Volume","GBA432331","9780141317380","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Puffin","2003","Fully updated edition","285 pages, illustrations, 20 cm","823.914","YK.2005.a.13541","Children's literature","English","Previous edition: 2001"
"Animals, Mythical--Juvenile literature","general term","014556698","Monograph","Language material ; Text","Volume","GBA890229","9781843173021","","Colbert, David","","person","","Colbert, David [person]","The magical worlds of Harry Potter : a treasury of myths, legends and fascinating facts","","","","England","London","Michael O'Mara","2007","New, expanded and updated edition","319 pages, illustrations, 20 cm","823.914","YK.2009.a.14242","Children's literature","English","Previous edition: 2003"
"Animals, Mythical--Pictorial works--Juvenile literature","general term","013431849","Monograph","Language material ; Text","Volume","GBA634032","9781405902052","","","","","","Rowling, J. K. [person] ; GrandPré, Mary [person] ; Finch, Keith, 1966- [person]","Magical creatures : a hanging pop-up book","","Harry Potter","","England","London","BBC Worldwide","2006","","12 pages, illustrations, 13 cm","823.914","YK.2014.a.7054","Children's literature ; Pictorial work ; Specimen","English","Based on the characters by J.K. Rowling ; Pop-up book, with ribbon ties attached to covers ; Text and illustrations on inside covers ; Title from cover ; book designed to be opened fully and hung up"
"Anxiety--Popular works","general term","015893890","Monograph","Language material ; Text","Volume","","9781921479311","","Sykley, Julie-Anne","","person","","Sykley, Julie-Anne [person]","Harry Potter power : free your inner power","","","","Australia","Carindale, Queensland","Interactive Publications","2010","","x, 258 pages, illustrations, 23 cm","152.4","YD.2011.a.7933","","English",""
"Apocalyptic literature--History and criticism","general term","014644440","Monograph","Language material ; Text","Volume","","9785170405848 ; 9785946633291","","Kuraev, Andreĭ","","person","","Kuraev, Andreĭ [person] ; Кураев, Андрей [person]","Fantazii︠a︡ i pravda 'Koda da Vinchi","Фантазия и правда 'Кода да Винчи'","","","Russia","Moskva ; Москва","Zebra E ; Зебра Е","2007","","526 pages, 21 cm","","YF.2008.a.22231","","Russian",""
"Archetype (Psychology) in literature","general term","017604907","Monograph","Language material ; Text","Volume","GBB5G0133","9781936367696","","Lutters, Frans","","person","author","Lutters, Frans, author [person] ; Mees, Philip, translator [person]","Who is Harry Potter?","","","","United States of America","Chatham, New York","Waldorf Publications","2016","","71 pages, 22 cm","823.92","","","English","Translated from the Dutch"
